@RELATION relation
@attribute article string
@ATTRIBUTE Class  {"خدمات" , "فواتير", "اخرى"}
@DATA
"كيف بقدر ارسل و استقبل مكالمات و انا مفعل خدمة التجوال","خدمات"
"خدمة التجوال بتشتغل على الفاتورة و الكرت نفس الاشي","خدمات"
"شو هي خدمة توأم جوالي","خدمات"
"شو في خدمات ترفيهية مسلية عندكم","خدمات"
"كيف ممكن افعل او استخدم خدمة ارجعلي","خدمات"
"كيف بأدر استخدم خدمة الرسائل الصوتية","خدمات"
"كيف اجيب الاعدادات الخاصة بالخدمات","خدمات"
"شو يعني خدمة الرسائل المتعددة الوسائط","خدمات"
"شو هي خدمة المكالمات الفائتة","خدمات"
"كيف ممكن اشترك بخدمة رنلي","خدمات"
"شو هي خطوات الاتصال اثناء التجوال","خدمات"
"شو لازم اسوي عشان افعل خدمة التجوال","خدمات"
"كيف بأدر ابعت رسائل اثناء التجوال","خدمات"
"شو بتفرئ المكالمة الدولية عن مكالمة التجوال","خدمات"
"كيف بأدر اسمع المكالمات الصوتية اثناء التجوال","خدمات"
"كيف ممكن الناس يتصلو علي لما اكون مفعل التجوال","خدمات"
"هل رح يشتغل جوالي برا البلد لما افعل التجوال","خدمات"
"على اي نظام بأدر افعل التجوال الدولي","خدمات"
"شو هية خدمة توأم جوالي","خدمات"
"كيف بئدر اشترك بخدمة الاخبار","خدمات"
"شو في خدمات ترفيهية عندكم و أديش بتكلف","خدمات"
"شو هي خدمة ارجعلي شو فايدتها و كيف بئدر استخدمها","خدمات"
"شو يعني رسائل الصوتية","خدمات"
"كيف ازبط الاعدادات على جهازي و اخد كل الخدمات","خدمات"
"كيف بشترك بخدمة الرسائل متعددة الوسائط","خدمات"
"شو هية خدمة المكالمات الفائتة","خدمات"
"شو هي خطوات الاتصال اثناء التجوال","خدمات"
"شو لازم اسوي عشان افعل خدمة التجوال","خدمات"
"كيف بئدر ابعت رسائل اثناء التجوال","خدمات"
"كيف بئدر اميز بين التجوال و الاتصال الدولي","خدمات"
"كيف بئدر اسمع المكالمات الصوتية اثناء التجوال","خدمات"
"كيف ممكن الناس بتصلو علي لما أكون مفعلة التجوال","خدمات"
"هل راح يشتغل جوالي برا البلد لما افعل التجوال","خدمات"
"على أي نظام بئدر افعل التجوال الدولي","خدمات"
"اديش بكلفني تفعيل الخدمات الترفيهية","فواتير"
"اديش بكلفني الاشتراك بالاخبار العاجلة","فواتير"
"كيف بعرف الرصيد الي معي","فواتير"
"كيف بعرف رصيدي بالتجوال","فواتير"
"الرسالة اثناء التجوال اديش بتكلف","فواتير"
"شو الفرق بالسعر بين مكالمة دولية و مكالمة على التجوال","فواتير"
"كيف بحول رصيد لحدا تاني","فواتير"
"شو بكلف الاشتراك بخدمة توأم جوالي","فواتير"
"كيف بأدر اعرف رصيدي","فواتير"
"لما اكون مفعل التجوال كيف ممكن اعرف رصيدي","فواتير"
"اديش بتكلف الرسالة لما اكون مفعل التجوال","فواتير"
"شو في طريئة بأدر من خلالها اوفر رصيد لما اكون مفعل التجوال","فواتير"
"اديش بكلفني استقبال المكالمات لما مفعل التجوال","فواتير"
"شو لازم اعمل عشان احول رصيد لحدا","فواتير"
"كيف بتعبا الرصيد من الكرت","فواتير"
"شو اسعار كروت الجوال الي بتبيعوها","فواتير"
"كيف بقدر اعرف كم رصيدي بالوقت الحالي","فواتير"
"شو الطريقة الي ممكن اعرف فيها كم رصيدي","فواتير"
"كيف اجري عملية الاستعلام عن الرصيد","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"كيف بستعلم عن رصيدي لما استخدم التجوال","فواتير"
"كيف افعل ترشيد الاستهلاك اثناء التجوال","فواتير"
"كيف اوفر استهلاك الرصيد لما اكون مفعل التجوال","فواتير"
"شو الطريقة الي احد مصاريف خدمة التجوال","فواتير"
"كيف بقدر اعرف كم رصيدي بالوقت الحالي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"ما هي خدمة تحويل الرصيد","فواتير"
"كيف يمكن اضافة الرصيد من خلال بطاقات التعبئة على الجوال","فواتير"
"ما هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"شو الطريقة الي ممكن اعرف فيها كم رصيدي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"شو الطريقة الي احد مصاريف خدمة التجوال","فواتير"
"ما هي خدمة تحويل الرصيد","فواتير"
"كيف يمكن اضافة الرصيد من خلال بطاقات التعبئة على الجوال","فواتير"
"ما هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"شو الطريقة الي ممكن اعرف فيها كم رصيدي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"شو الطريقة الي احد مصاريف خدمة التجوال","فواتير"
"ما هي خدمة تحويل الرصيد","فواتير"
"كيف يمكن اضافة الرصيد من خلال بطاقات التعبئة على الجوال","فواتير"
"ما هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"كيف بئدر اعرف رصيدي","فواتير"
"كيف بئدر استعلم عن الرصيد اثناء التجوال","فواتير"
"كيف بقدر اخفف مصروفي اثناء التجوال","فواتير"
"كيف بئدر احول رصيد لحد","فواتير"
"كيف ممكن اضيف رصيد من خلال الكرت","فواتير"
"شو في فئات التعبئة لكرت الجوال","فواتير"
"كيف بئدر اعرف اديش معي رصيد بالوئت الحالي","فواتير"
"كيف بئدر اعرف اديش معي رصيد اثناء التجوال الدولي","فواتير"
"هل في طريئة اوفر استهلاك رصيد لما أكون مشغل التجوال","فواتير"
"شو هي خدمة تحويل الرصيد","فواتير"
"كيف بئدر اعبي كرت على الجوال تاعي","فواتير"
"شو هي فئات التعبئة لكرت الجوال","فواتير"
"شو هي فئات التعبئة الخاصة بجوال","فواتير"
"حابب استعلم عن رصيدي","فواتير"
"كيف بعرف قديش صرفت اثناء خدمة التجوال الدولي","فواتير"
"كيف ممكن اوفر استهلاكي للرصيد اثناء استخدامي خدمة التجوال","فواتير"
"ما هي خدمة تحويل الرصيد","فواتير"
"كيف ممكن اضيف رصيد من خلال جوال","فواتير"
"اغلبك الخدمات الترفيهية عندكم كم بتكلف الاشتراك فيها","فواتير"
"كيف ممكن اعرف كم الرصيد الحالي الي معي","فواتير"
"كم بكلفني اتصل بشخص اثناء التجوال","فواتير"
"كيف ممكن اخفف التكاليف الي علي و انا بعمل رومنغ","فواتير"
"ايش الفرق بالتكلفة بين المكالمة الدولية و المكالمة اثناء التجوال","فواتير"
"بالنسبة لخدمة ارجعلي قديش لازم يكون معي رصيد عشان اقدر افعل هاي الخدمة","فواتير"
"كيف بدي اعرف قديش ضايل معي رصيد","فواتير"
"قديش بكلفني استقبال المكالمات اثناء التجوال بين الشبكات","فواتير"
"قديش بكلفني اجراء المكالمات اثناء الرومنغ بين الشبكات","فواتير"
"لما اكون عامل رومنغ برا البلد كم بتكلفني الرسالة","فواتير"
"كيف يقدر افعل ترشيد الاستهلاك و انا عامل رومنغ","فواتير"
"كيف بدي اعرف أديش رصيدي","فواتير"
"كيف بعرف أديش كلفني التجوال","فواتير"
"ممكن تشرحلي شو هي خدمة تحويل الرصيد","فواتير"
"كيف بئدر اعبي رصيد من خلال بطاقات التعبئة","فواتير"
"شو هي أنواع التعبئة بكروت جوال","فواتير"
"كيف اوفر على حالي مصاري و انا بالتجوال","فواتير"
"شو هي تكلفة خدمة الرسائل الصوتية","فواتير"
"قديش بكلفني الاشتراك بخدمة رنلي","فواتير"
"كيف ممكن اعرف رصيدي","فواتير"
"و انا شابك عشبكات برة بالتجوال قديش بتكلفني المكالمات عشان انا اجريها","فواتير"
"قديش تكلفة الرسالة اثناء التجوال","فواتير"
"ايش الفرق السعري بين المكالمة في الرومينج و المكالمة الدولية","فواتير"
"بدي اعرف كديش ضل برصيدي","فواتير"
"بدي اعرف كيف استفسر عن رصيدي و انا في خدمة التجوال","فواتير"
"بدي اسأل عن انه كيف اعمل ترشيد للاستهلاك لخدمة التجوال","فواتير"
"بدي اسأل ايه شو بتفرق بالسعر مكالمة التجوال عن المكالمة الدولية","فواتير"
"شو هي خدمة تحويل الرصيد","فواتير"
"اشتريت كرت جوال و بدي اعرف كيف اعبي رصيد منه","فواتير"
"كيف ممكن اعرف رصيدي","فواتير"
"كيف ممكن اعرف رصيدي خلال التجوال","فواتير"
"شو سعر الرسالة اثناء التجوال","فواتير"
"كيف من الممكن اوفر رصيدي اثناء التجوال","فواتير"
"شو الفرق بالسعر بين المكالمة المحلية و المكالمة خلال التجوال","فواتير"
"كيف ممكن احول رصيد من شخص لاخر","فواتير"
"كيف ممكن اعبي رصيد","فواتير"
"شو أسعار الكروت الموجودة عندكم","فواتير"
"كيف افعل ترشيد الاستهلاك اثناء التجوال","فواتير"
"شو هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"كيف بقدر استعلم عن رصيدي لما استخدم التجوال","فواتير"
"كيف ممكن احول رصيد من جهاز لجهاز","فواتير"
"كيف ممكن اضيف رصيد من بطاقات التعبئة على الجوال","فواتير"
"كيف بئدر اعرف اديش ضايل برصيدي","فواتير"
"كيف بئدر اعرف رصيدي و انا بستخدم خدمة التجوال","فواتير"
"كيف بئدر اوفر رصيدي اثناء خدمة التجوال","فواتير"
"اديه الفرء بالتكلفة بين مكالمة التجوال و المكالمة الدولية","فواتير"
"كيف بئدر احول رصيد","فواتير"
"انا اشتريت كرت جوال كيف بئدر اعبيه","فواتير"
"بعرف في كرت جوال بعشرين بخمسين في اكثر من هيك","فواتير"
"ايه كيف بقدر افعل الرسائل الصوتية و كم بتكلفني","فواتير"
"كيف بقدر افحص رصيدي","فواتير"
"كيف بقدر افحص الرصيد و انا برا","فواتير"
"كيف بقدر اوفر رصيد و انا برا","فواتير"
"كيف بعبي كرت الجوال","فواتير"
"ايه ايش بتكون قيم كروت الجوال بالعادة","فواتير"
"كيف بقدر اعرف رصيدي بالوقت الحالي","فواتير"
"كيف بقدر اخفف مصاريف خدمة التجوال","فواتير"
"شو هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"ايش هي خدمة تحويل الرصيد","فواتير"
"كيف بئدر اضيف الرصيد عن طريق بطاقات التعبئة بالجوال","فواتير"
"كيف بقدر اعرف رصيدي","فواتير"
"كيف بعرف رصيدي لما استعمل التجوال","فواتير"
"كيف بقدر اوفر رصيد لما بستعمل خدمة التجوال","فواتير"
"شو هية خدمة تحويل الرصيد","فواتير"
"كيف بقدر اعبي رصيد","فواتير"
"شو هي الفئات التعبئة الخاصة بكرت جوال","فواتير"
"كيف بقدر اعرف رصيدي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"كيف بدي اوفر رصيد لما افعل التجوال","فواتير"
"شو هي عملية تحويل الرصيد","فواتير"
"كيف بعبي رصيد من خلال بطاقات التعبئة","فواتير"
"شو هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"كيف بعرف كم الرصيد عندي","فواتير"
"و انا مسافر و مفعل التجوال كيف بقدر استعلم عن الرصيد","فواتير"
"كيف بفعل ترشيد الاستهلاك اثناء التجوال","فواتير"
"رصيدي خلص و بدي حد يحولي رصيد كيف بقدر استعمل هاي الخدمة","فواتير"
"كيف بعبي رصيد باستخدام الكرت","فواتير"
"ايش فئات التعبئة الخاصة بكروت الجوال المتوفرة عندكم","فواتير"
"شو اقل تكلفة مكالمات و انا برا البلد","فواتير"
"كيف بئدر اعرف رصيدي خلال خدمة التجوال","فواتير"
"شو هي خدمة تحويل الرصيد","فواتير"
"كيف اعبي كرت","فواتير"
"شو فئات كرتات الجوال","فواتير"
"كيف بئدر اعرف رصيدي","فواتير"
"كيف بقدر اجيب كم في عندي رصيد","فواتير"
"بخدمة التجوال كيف بقدر اعرف كم رصيدي","فواتير"
"بخدمة التجوال في اشي اسمو ترشيد الاستهلاك بقدر اعرف شو هوة","فواتير"
"لما اكون مفعل التجوال و حدا يرن علي بعرف انو انا تجوال او بخصم منو اشي","فواتير"
"بس اسالك ايش يعني احول رصيد","فواتير"
"انا اشتريت كرت و مش عارف اعبي بتقدر تساعدني","فواتير"
"في عندكم كرت عشرة","فواتير"
"شو الطريقة الي ممكن اعرف فيها كم رصيدي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"كيف اوفر استهلاك الرصيد لما اكون مفعل التجوال","فواتير"
"شو هية خدمة تحويل الرصيد","فواتير"
"كيف بقدر اضيف رصيد من خلال بطاقات التعبئة على الجوال","فواتير"
"شو هية فئات التعبئة الخاصة بكرت الجوال","فواتير"
"كيف بقدر اعرف قديش ضايل عندي رصيد","فواتير"
"كيف بقدر استعلم عن رصيدي لما استخدم خدمة التجوال الدولي","فواتير"
"قديش بكلف اذا بدي ارسل رسالة و انا بستخدم خدمة التجوال","فواتير"
"كيف بقدر اوفر رصيدي و انا مفعل خدمة التجوال","فواتير"
"كيف بقدر احول رصيد لحدا","فواتير"
"كيف بقدر اضيف رصيد لما اشتري بطاقة تعبئة جوال","فواتير"
"شوهي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"كيف اعرف كمية رصيدي بالوقت الحالي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"كيف اوفر استهلاك رصيد لما اكون مفعل التجوال","فواتير"
"ايش هي خدمة تحويل الرصيد","فواتير"
"كيف بأدر اضيف رصيد من خلال بطاقات التعبئة على جوال","فواتير"
"شو في فأت تعبئة خاصة بكرت الجوال","فواتير"
"شو الطريئة الي ممكن اعرف فيها كم رصيدي","فواتير"
"كيف بعرف كم صرفت اثناء التجوال الدولي","فواتير"
"شو الطريئة الي بئدر اوفر فيها مصاريف التجوال","فواتير"
"شو هي خدمة تحويل الرصيد","فواتير"
"كيف بئدر اضيف رصيد من خلال بطاقات التعبئة على الجوال","فواتير"
"شو هي فئات التعبئة الخاصة بكرت الجوال","فواتير"
"كيف بأدر اخلي واحد يرجعلي","اخرى"
"كيف بدي ابعت صوت مسجل كرسالة","اخرى"
"كيف ممكن ابعت صورة برسالة قصيرة","اخرى"
"كيف ممكن اعرف مين رن علي لما يكون تليفوني مسكر","اخرى"
"بتشتغل شريحة الجوال برا البلد","اخرى"
"بتئدرو تبعتولي رمز البي يو ك","اخرى"
"وين في مراكز بتبيع شرائح جوال","اخرى"
"لما بشتري كرت كيف بعبي بالتليفون","اخرى"
"شو فئات كروت الجوال الموجودة بالسوء","اخرى"
"بدي ابعت صورة عن طريق رسالة كيف بأدر اعمل هيك","اخرى"
"كيف بأدر اعرف شو في مكالمات فائتة بتوصلني","اخرى"
"بدي احط اغنية لما الناس يرنو علي يسمعوها كيف","اخرى"
"شرائح من برا البلد بتشتغل عشبكة جوال","اخرى"
"لازم اشتري شريحة جديدة لما اسافر برا البلد ولا شريحة جوال بتشتغل برا","اخرى"
"تليفوني مش راضي يفتح بطلب رمز البي يو ك","اخرى"
"وين بتبيعو شرائح جوال","اخرى"
"كيف ممكن توصلني الاخبار اول باول","اخرى"
"شو يعني الرسائل الصوتية","اخرى"
"كيف يمكن الحصول على شريحة جوال","اخرى"
"كيف ممكن توصلني الاخبار اول باول","اخرى"
"كيف يمكن الحصول على شريحة جوال","اخرى"
"كيف ممكن توصلني الاخبار اول باول","اخرى"
"كيف يمكن الحصول على شريحة جوال","اخرى"
"هل لازم اغير جهازي اثناء التجوال ولا جهازي بزبط","اخرى"
"كيف بئدر احصل على شريحة جوال","اخرى"
"كيف بئدر اشتري شريحة جوال","اخرى"
"من وين بقدر اجيب شريحة جوال","اخرى"
"كيف ممكن احط صورة و ابعتها في اس م س لصديقي","اخرى"
"كيف ممكن اعرف رمز البي يو ك تبعي","اخرى"
"كيف بقدر اخلي شخص يحكي معي و انا بتجول الدول التانية","اخرى"
"لازم اشتري جهاز جديد لما اطلع برا او اسافر و اتنقل بين دولة و دولة","اخرى"
"كيف بقدر ابعت فيديو و قديش مدة هدا الفيديو و قديش بكلفني ابعتو","اخرى"
"بدي استفسر عن رمز البي يوك تبعي","اخرى"
"كيف ممكن اعمل رومينغ لشريحتي الي جايبها معي من برا البلد","اخرى"
"اضطريت اغير جوالي اثناء عملية التجوال شو الاشياء الممكن اسويها","اخرى"
"كيف بدي أئدر اجيب شريحة جوال","اخرى"
"بلزمني اغير بلفوني لما بدي اعمل تجوال","اخرى"
"فتحت جوالي هديك اليوم و طلب من اشي اسمو ال بي يو كيه كود شو هادا و كيف ممكن احصل عليه","اخرى"
"انا مسافر على الاردن و في عندو كتير اتصالات مهمة لازم اعملها ايش الشبكات اللي لازم اعمل عليها التجوال عشان اضلني استقبل الاتصالات بطريقة صحيحة و اعمل اتصالات","اخرى"
"انا جاي على فلسطين زيارة و بدي اشبك جوالي على جوال كيف ممكن اعمل هاد الحكي","اخرى"
"كيف بدي اوصل للبريد الصوتي تبعي و انا عامل رومينج","اخرى"
"انا مسافر برة و بدي اعمل اتصالات بلزم اشتري شريحة جديدة من الشبكات الموجودة هناك ولا بنفع اعمل رومينج على شبكة جوال","اخرى"
"ايه هل جوالي راح يشتغل اذا كنت برا البلد لما افعل التجوال ولا لا","اخرى"
"كيف بدي اجيب شريحة جوال","اخرى"
"بدي اعرف شو فئات التعبئة لكروت الجوال","اخرى"
"كيف بقدر ازبط اعدادات الواب على جوالي و شو حزم الانترنت الموجودة عندكم","اخرى"
"ممكن التجوال بين شبكة اجنبية على الجوال","اخرى"
"بلزم اغير جوالي لما اطلع برا البلد","اخرى"
"وين مراكز البيع الخاصة فيكم","اخرى"
"هل راح يشتغل جوالي برا البلد ولا بس هون","اخرى"
"كيف بئدر اخلي لما ارن على حدا يطلعلي اغنية","اخرى"
"بئدر احكي مكالمات و انا برا البلد","اخرى"
"كيف بئدر اجيب شريحة جوال","اخرى"
"كيف بقدر اتحكم فالاعدادات على جوالي","اخرى"
"كيف بدي اعرف اذا حد رن علي و جوالي مسكر","اخرى"
"مشان افعل التجوال في داعي اجيب جوال جديد","اخرى"
"كيف بقدر اجيب شريحة جوال","اخرى"
"كيف بئدر احصل على شريحة جوال","اخرى"
"رح يشتغل جهازي برا البلد لما افعل التجوال","اخرى"
"كيف بقدر احصل على شريحة جوال","اخرى"
"كيف بقدر اعرف البي يوك","اخرى"
"كيف بقدر اطلع شريحة جوال","اخرى"
"بدي اشبك انترنت عندي و مش عارف بحكولي في لازم اعدادات الخدمات من وين بجيبها هاي","اخرى"
"كتير بطلع عندي عالجهاز مكالمات فائتة كيف بقدر افعل خدمة اني اوصلهم","اخرى"
"كيف بخلي اغنية تشتغل لما حدا يتصل علي","اخرى"
"من وين بقدر اجيب شريحة جوال","اخرى"
"لازم اغير جهازي و انا برا البلد","اخرى"
"كيف بئدر اجيب شريحة","اخرى"
"لو بدي اشتري شريحة جوال كيف بقدر اجيب وحدة","اخرى"
"هل راح يشتغل جوالي برا البلد لما افعل التجوال","اخرى"
"كيف بقدر احصل على شريحة جوال","اخرى"
"كيف بقدر احصل على رمز البي يوك","اخرى"
"في عندكم مجموعة اغاني معينة بقدر اختار منها لخدمة رنلي ولا انا بقدر اختار الاغنية الي بدي ياها","اخرى"
"هل راح يشتغل جوالي برا البلد لما افعل التجوال","اخرى"
"جوال عم بطلب مني رمز البي يوك كيف بقدر احصل عليه","اخرى"
"كيف بقدر احصل على شريحة جوال","اخرى"
"كيف ممكن توصلني الاخبار اول بأول","اخرى"
"كيف ممكن الحصول على شريحة جوال","اخرى"
"كيف اخلي حد يرجعلي على رقمي بدون ما ارن عليه","اخرى"
"كيف بئدر احصل على شريحة جوال","اخرى"
